Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
1481-1083-ND,ELECTRONIC ASSEMBLY GMBH,EA DOGM163W-A,LCD1,1,0,0,3 Weeks,LCD MOD CHAR 3X16 BLK/W,,RoHS Compliant,Lead free,Not Available
1481-1153-ND,ELECTRONIC ASSEMBLY GMBH,EA LED55X31-A,LCD1-BL,1,0,0,3 Weeks,LED B/L FOR DOG-M AMBER,,RoHS Compliant,Lead free,Not Available
644-1037-1-ND,NDK (VA),NX5032GA-16.000000MHZ-LN-CD-1,X1,1,0,0,8 Weeks,CRYSTAL 16.0000MHZ 8PF SMD,Alternate Packaging Exists,RoHS Compliant,Lead free by exemption,Unaffected Dec-2014
455-1792-1-ND,JST SALES AMERICA INC (VA),BM06B-SRSS-TB(LF)(SN),CN1,1,0,0,14 Weeks,CONN HEADER SH 6POS TOP 1MM TIN,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
311-150KHRCT-ND,YAGEO (VA),RC0603FR-07150KL,R4,1,0,0,22 Weeks,RES SMD 150K OHM 1% 1/10W 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
A19432-ND,TE CONNECTIVITY AMP,640454-5,JP1,1,0,0,15 Weeks,CONN HEADER VERT 5POS .100 TIN,,RoHS Compliant,Lead free,Not Available
445-7645-1-ND,TDK CORPORATION (VA),C2012X5R1C106M085AC,C15,0,0,0,10 Weeks,CAP CER 10UF 16V X5R 0805,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
160-1827-1-ND,LITE-ON INC (VA),LTST-C193TBKT-5A,LED4,1,0,0,10 Weeks,LED BLUE CLEAR 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
BC2292CT-ND,VISHAY BC COMPONENTS (VA),NTCS0805E3103JMT,TH1,1,0,0,12 Weeks,THERMISTOR NTC 10K OHM 0805 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2011
BK-912-ND,MEMORY PROTECTION DEVICES,BK-912,BAT5,1,0,0,10 Weeks,HOLDER COIN CELL 20MM SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
CKN9098-ND,C&K COMPONENTS,PTS645SL43-2 LFS,SW1,1,0,0,13 Weeks,SWITCH TACTILE SPST-NO 0.05A 12V,,RoHS Compliant,Lead free,Unaffected Jun-2015
ATMEGA328P-AU-ND,ATMEL,ATMEGA328P-AU,U5,1,0,0,6 Weeks,IC MCU 8BIT 32KB FLASH 32TQFP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
36-92-ND,KEYSTONE ELECTRONICS,92,BAT1-4,8,0,0,4 Weeks,CLIP BATTERY AA PC MNT,,RoHS Compliant,Lead free,Unaffected Jun-2014
LT3652EMSE#PBF-ND,LINEAR TECHNOLOGY,LT3652EMSE#PBF,U2,1,0,0,9 Weeks,IC BATTERY CHARGER SOLAR 12MSOP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2015
